marca,modelo,ano,motorizacao,tipo_combustivel,cor,quilometragem,numero_de_portas,transmissao,categoria,km_por_litro,preco,descricao
Hyundai,Creta,2011,Motor elétrico,Elétrico,Prata,262128,4,CVT,Hatch,17.5,345930.25,Design moderno com boa tecnologia embarcada.
Toyota,Hilux,2021,2.0 4 cilindros Gasolina,Híbrido,Preto,0,4,Manual,Sedan,12.0,217310.23,Espaçoso e confortável para famílias.
Renault,Logan,2014,2.0 4 cilindros Gasolina,Gasolina,Vermelho,450912,2,Manual,Hatch,16.7,178471.77,Design moderno com boa tecnologia embarcada.
Renault,Sandero,2017,1.6 4 cilindros Flex,Híbrido,Vermelho,455881,2,Automatizada,Sedan,16.9,151548.13,Boa relação custo-benefício.
Toyota,Hilux,2007,1.3 4 cilindros Flex,Híbrido,Azul,316055,4,CVT,Passeio,17.3,131441.31,Ótimo desempenho e conforto para viagens.
BYD,Dolphin,2025,1.3 4 cilindros Flex,Gasolina,Verde,58179,4,Automática,SUV,18.1,304911.88,Design moderno com boa tecnologia embarcada.
Jeep,Gladiator,2021,Motor elétrico,Elétrico,Branco,0,4,CVT,Hatch,15.6,347467.65,Modelo confiável e muito popular no Brasil.
Renault,Logan,2008,2.0 4 cilindros Gasolina,Diesel,Preto,415364,2,Automatizada,Passeio,19.3,167264.59,Boa relação custo-benefício.
Jeep,Gladiator,2023,1.3 4 cilindros Flex,Flex,Azul,0,2,Manual,Passeio,22.0,224174.07,Carro econômico ideal para cidade.
Chevrolet,Spin,2024,1.3 4 cilindros Flex,Híbrido,Prata,463772,2,Automatizada,Sedan,19.0,208308.53,Ótimo desempenho e conforto para viagens.
Hyundai,HB20,2023,2.8 4 cilindros Diesel,Gasolina,Branco,0,2,Automatizada,Sedan,14.0,329883.34,Boa relação custo-benefício.
Toyota,SW4,2025,2.8 4 cilindros Diesel,Flex,Azul,0,4,Manual,Hatch,10.5,108666.95,Boa relação custo-benefício.
Honda,HR-V,2009,1.6 4 cilindros Flex,Gasolina,Cinza,114806,2,Manual,SUV,20.9,110328.99,Modelo confiável e muito popular no Brasil.
Chevrolet,Tracker,2014,1.0 3 cilindros Otto,Gasolina,Verde,151928,2,Automática,SUV,10.0,327369.24,Carro econômico ideal para cidade.
Hyundai,HB20,2016,1.6 4 cilindros Flex,Diesel,Verde,343943,2,Manual,Sedan,11.6,293657.08,Design moderno com boa tecnologia embarcada.
Fiat,Argo,2017,1.3 4 cilindros Flex,Híbrido,Vermelho,498805,2,CVT,Hatch,11.8,244664.16,Boa relação custo-benefício.
Hyundai,Creta,2022,1.6 4 cilindros Flex,Híbrido,Azul,0,4,Manual,Hatch,12.1,317760.56,Design moderno com boa tecnologia embarcada.
Toyota,Corolla,2005,2.0 4 cilindros Gasolina,Híbrido,Preto,350890,4,Automatizada,Passeio,13.1,132047.02,Boa relação custo-benefício.
Toyota,Hilux,2013,1.0 3 cilindros Otto,Híbrido,Azul,244780,4,Automatizada,SUV,19.3,78777.5,Espaçoso e confortável para famílias.
Fiat,Cronos,2011,Motor elétrico,Elétrico,Azul,175691,2,Automática,Passeio,17.2,224192.51,Design moderno com boa tecnologia embarcada.
BYD,Dolphin,2022,Motor elétrico,Elétrico,Vermelho,0,2,Manual,Sedan,13.5,257359.63,Boa relação custo-benefício.
Toyota,Corolla,2019,1.6 4 cilindros Flex,Gasolina,Prata,418885,4,Automática,Hatch,18.3,288188.47,Boa relação custo-benefício.
BYD,Dolphin,2023,1.0 3 cilindros Otto,Flex,Preto,0,2,Automática,Picape,17.6,82476.59,Boa relação custo-benefício.
Hyundai,Creta,2018,1.6 4 cilindros Flex,Híbrido,Azul,0,4,CVT,Picape,19.6,142265.99,Espaçoso e confortável para famílias.
Honda,HR-V,2009,1.6 4 cilindros Flex,Híbrido,Azul,415775,2,Automática,Sedan,11.3,202156.63,Boa relação custo-benefício.
BYD,Seal,2017,1.3 4 cilindros Flex,Gasolina,Azul,363647,4,Automática,Sedan,17.7,100646.61,Modelo confiável e muito popular no Brasil.
Chevrolet,Tracker,2016,Motor elétrico,Elétrico,Vermelho,413413,2,Manual,SUV,8.4,123137.61,Design moderno com boa tecnologia embarcada.
Honda,HR-V,2013,1.0 3 cilindros Otto,Híbrido,Vermelho,116932,2,Manual,Hatch,16.8,69135.16,Ótimo desempenho e conforto para viagens.
Jeep,Renegade,2022,Motor elétrico,Elétrico,Verde,358904,4,Manual,Sedan,9.2,249575.74,Carro econômico ideal para cidade.
Volkswagen,Polo,2013,2.8 4 cilindros Diesel,Gasolina,Vermelho,295885,2,Manual,Sedan,20.0,318346.07,Ótimo desempenho e conforto para viagens.
Volkswagen,Gol,2021,1.3 4 cilindros Flex,Híbrido,Vermelho,0,2,Automática,Passeio,21.7,272565.41,Carro econômico ideal para cidade.
Chevrolet,Cruze,2005,Motor elétrico,Elétrico,Vermelho,390897,2,Manual,Passeio,19.6,151109.79,Ótimo desempenho e conforto para viagens.
Hyundai,HB20,2019,2.0 4 cilindros Gasolina,Flex,Azul,0,2,Automática,Picape,17.3,142256.96,Espaçoso e confortável para famílias.
Toyota,SW4,2017,1.6 4 cilindros Flex,Híbrido,Prata,366366,2,CVT,Passeio,21.1,260712.16,Design moderno com boa tecnologia embarcada.
Nissan,Sentra,2019,2.0 4 cilindros Gasolina,Diesel,Verde,151681,2,Automática,Hatch,20.6,328029.09,Boa relação custo-benefício.
Hyundai,Tucson,2022,2.8 4 cilindros Diesel,Híbrido,Preto,0,2,Automática,Sedan,8.2,140800.87,Carro econômico ideal para cidade.
Honda,City,2020,1.6 4 cilindros Flex,Gasolina,Cinza,236345,4,Automatizada,Sedan,10.4,285182.91,Espaçoso e confortável para famílias.
Honda,Civic,2016,1.6 4 cilindros Flex,Híbrido,Branco,114595,4,Automatizada,Passeio,13.4,114011.11,Espaçoso e confortável para famílias.
Fiat,Pulse,2010,1.3 4 cilindros Flex,Gasolina,Prata,379397,4,Automática,SUV,21.9,336869.29,Espaçoso e confortável para famílias.
Hyundai,HB20,2014,1.3 4 cilindros Flex,Gasolina,Cinza,408657,4,CVT,Sedan,18.3,132693.84,Modelo confiável e muito popular no Brasil.
Renault,Sandero,2011,1.6 4 cilindros Flex,Híbrido,Preto,412888,4,Automática,Picape,8.5,318712.52,Carro econômico ideal para cidade.
Toyota,Corolla,2022,1.3 4 cilindros Flex,Diesel,Verde,251668,2,Automatizada,Hatch,12.7,311995.85,Espaçoso e confortável para famílias.
Volkswagen,Amarok,2018,1.6 4 cilindros Flex,Híbrido,Cinza,175885,4,Automática,Passeio,10.2,207544.21,Design moderno com boa tecnologia embarcada.
Volkswagen,T-Cross,2021,1.0 3 cilindros Otto,Híbrido,Preto,0,4,Manual,Picape,16.0,245689.05,Boa relação custo-benefício.
Fiat,Strada,2017,2.0 4 cilindros Gasolina,Diesel,Preto,266102,4,CVT,Hatch,17.5,209582.27,Espaçoso e confortável para famílias.
Jeep,Gladiator,2019,1.6 4 cilindros Flex,Gasolina,Preto,0,4,Automatizada,Sedan,19.6,34448.75,Ótimo desempenho e conforto para viagens.
Volkswagen,Amarok,2024,2.0 4 cilindros Gasolina,Diesel,Prata,485843,4,Automatizada,Passeio,9.8,98651.77,Carro econômico ideal para cidade.
Toyota,Yaris,2007,2.8 4 cilindros Diesel,Híbrido,Azul,152424,2,Manual,Picape,21.7,307046.93,Boa relação custo-benefício.
Fiat,Pulse,2022,1.0 3 cilindros Otto,Diesel,Azul,0,4,Automática,Passeio,19.4,186817.05,Modelo confiável e muito popular no Brasil.
Hyundai,HB20,2006,1.0 3 cilindros Otto,Híbrido,Vermelho,396955,4,CVT,Picape,8.2,294072.53,Ótimo desempenho e conforto para viagens.
Fiat,Cronos,2016,Motor elétrico,Elétrico,Azul,93460,4,Automatizada,Hatch,11.5,150851.03,Boa relação custo-benefício.
Fiat,Strada,2010,2.0 4 cilindros Gasolina,Flex,Preto,498150,2,Manual,Hatch,17.6,186449.73,Design moderno com boa tecnologia embarcada.
Hyundai,Creta,2017,1.6 4 cilindros Flex,Flex,Vermelho,433721,4,CVT,SUV,21.1,56545.22,Modelo confiável e muito popular no Brasil.
Toyota,Hilux,2014,Motor elétrico,Elétrico,Vermelho,416125,2,Automatizada,Sedan,14.4,53544.21,Modelo confiável e muito popular no Brasil.
Renault,Duster,2012,1.0 3 cilindros Otto,Gasolina,Prata,70814,4,CVT,Hatch,19.2,209376.82,Boa relação custo-benefício.
Nissan,Sentra,2018,2.8 4 cilindros Diesel,Gasolina,Branco,0,4,CVT,Sedan,20.4,338927.96,Boa relação custo-benefício.
Volkswagen,T-Cross,2006,1.6 4 cilindros Flex,Flex,Azul,90382,2,CVT,Picape,18.8,223136.59,Carro econômico ideal para cidade.
Jeep,Renegade,2015,1.3 4 cilindros Flex,Flex,Prata,369662,2,Automatizada,Sedan,13.0,306358.87,Boa relação custo-benefício.
Nissan,Versa,2023,2.0 4 cilindros Gasolina,Gasolina,Preto,0,2,Automatizada,Picape,8.1,60572.86,Design moderno com boa tecnologia embarcada.
Toyota,Corolla,2006,1.0 3 cilindros Otto,Diesel,Preto,69127,4,CVT,Passeio,18.2,294776.19,Ótimo desempenho e conforto para viagens.
Toyota,SW4,2023,1.6 4 cilindros Flex,Gasolina,Branco,0,2,CVT,Passeio,10.0,131679.55,Design moderno com boa tecnologia embarcada.
Renault,Sandero,2018,2.8 4 cilindros Diesel,Híbrido,Prata,91285,4,CVT,Passeio,9.0,348764.71,Ótimo desempenho e conforto para viagens.
Honda,Civic,2014,2.0 4 cilindros Gasolina,Gasolina,Azul,141176,2,Manual,Sedan,15.5,45884.65,Carro econômico ideal para cidade.
Honda,City,2022,1.0 3 cilindros Otto,Diesel,Branco,0,2,Manual,Sedan,18.8,277101.39,Ótimo desempenho e conforto para viagens.
Renault,Duster,2014,Motor elétrico,Elétrico,Prata,448758,4,Automatizada,SUV,18.7,153794.89,Modelo confiável e muito popular no Brasil.
Honda,Civic,2005,Motor elétrico,Elétrico,Vermelho,373791,4,Automática,Picape,21.9,189938.67,Design moderno com boa tecnologia embarcada.
Jeep,Commander,2018,2.8 4 cilindros Diesel,Gasolina,Azul,0,2,Manual,Picape,9.0,103128.03,Espaçoso e confortável para famílias.
Jeep,Gladiator,2023,Motor elétrico,Elétrico,Prata,350949,2,Automática,Hatch,11.6,242676.79,Modelo confiável e muito popular no Brasil.
Nissan,Frontier,2012,2.0 4 cilindros Gasolina,Híbrido,Azul,0,4,Automática,Picape,18.6,142354.96,Carro econômico ideal para cidade.
Nissan,Kicks,2009,1.6 4 cilindros Flex,Diesel,Branco,155467,2,Manual,Hatch,17.7,26910.01,Ótimo desempenho e conforto para viagens.
Renault,Kwid,2012,1.3 4 cilindros Flex,Diesel,Vermelho,271537,4,Manual,Hatch,13.1,44677.79,Ótimo desempenho e conforto para viagens.
Honda,City,2005,1.0 3 cilindros Otto,Diesel,Vermelho,265382,2,Automática,Picape,17.6,126262.89,Boa relação custo-benefício.
BYD,Seal,2022,1.3 4 cilindros Flex,Gasolina,Cinza,385639,4,CVT,Picape,14.8,241602.79,Carro econômico ideal para cidade.
Fiat,Pulse,2024,1.0 3 cilindros Otto,Gasolina,Azul,0,2,Automatizada,Hatch,20.0,68151.8,Carro econômico ideal para cidade.
Hyundai,Creta,2014,1.0 3 cilindros Otto,Gasolina,Prata,348717,2,Automática,Hatch,17.0,238383.41,Espaçoso e confortável para famílias.
BYD,Seal,2017,1.3 4 cilindros Flex,Flex,Cinza,70996,2,Automática,Passeio,11.2,290939.11,Design moderno com boa tecnologia embarcada.
Volkswagen,Polo,2009,2.0 4 cilindros Gasolina,Híbrido,Prata,252576,4,Manual,Picape,20.6,184778.15,Boa relação custo-benefício.
BYD,Dolphin,2010,2.8 4 cilindros Diesel,Flex,Branco,205954,4,Automatizada,Hatch,14.8,234841.82,Ótimo desempenho e conforto para viagens.
Toyota,SW4,2019,1.6 4 cilindros Flex,Gasolina,Verde,458772,2,Automatizada,Picape,15.8,223872.19,Modelo confiável e muito popular no Brasil.
Fiat,Pulse,2018,2.8 4 cilindros Diesel,Híbrido,Preto,0,4,Automatizada,SUV,14.7,46974.7,Carro econômico ideal para cidade.
Honda,City,2005,1.3 4 cilindros Flex,Híbrido,Prata,257336,4,Automatizada,Hatch,9.0,237178.32,Carro econômico ideal para cidade.
Fiat,Strada,2020,1.0 3 cilindros Otto,Gasolina,Prata,206693,2,Manual,Passeio,19.1,190025.48,Design moderno com boa tecnologia embarcada.
Hyundai,Tucson,2025,Motor elétrico,Elétrico,Branco,0,4,CVT,Hatch,11.2,298657.11,Boa relação custo-benefício.
Chevrolet,Onix,2005,1.6 4 cilindros Flex,Flex,Preto,155599,2,Automatizada,Sedan,20.1,165135.04,Modelo confiável e muito popular no Brasil.
Jeep,Commander,2025,1.0 3 cilindros Otto,Híbrido,Cinza,410717,2,CVT,Hatch,20.1,330745.15,Espaçoso e confortável para famílias.
Chevrolet,Spin,2017,Motor elétrico,Elétrico,Vermelho,395765,2,CVT,Sedan,18.3,295372.34,Boa relação custo-benefício.
Hyundai,Creta,2023,1.3 4 cilindros Flex,Flex,Vermelho,0,4,Manual,Sedan,19.0,214019.96,Modelo confiável e muito popular no Brasil.
Chevrolet,Tracker,2014,2.0 4 cilindros Gasolina,Híbrido,Preto,302812,4,CVT,SUV,14.7,296188.65,Boa relação custo-benefício.
Volkswagen,Amarok,2009,1.6 4 cilindros Flex,Diesel,Verde,497597,4,Automatizada,Passeio,14.5,169524.34,Modelo confiável e muito popular no Brasil.
BYD,Seal,2008,1.3 4 cilindros Flex,Gasolina,Preto,365868,2,Manual,Sedan,15.8,215550.9,Boa relação custo-benefício.
Renault,Logan,2014,Motor elétrico,Elétrico,Preto,260828,2,Automatizada,Hatch,17.3,135313.36,Espaçoso e confortável para famílias.
Honda,Civic,2017,2.0 4 cilindros Gasolina,Diesel,Cinza,173992,4,Automática,Hatch,9.2,196027.03,Design moderno com boa tecnologia embarcada.
Jeep,Gladiator,2023,1.6 4 cilindros Flex,Diesel,Vermelho,0,2,CVT,SUV,14.5,254289.25,Design moderno com boa tecnologia embarcada.
Hyundai,HB20,2023,1.6 4 cilindros Flex,Flex,Cinza,311575,4,Automatizada,Hatch,18.3,241628.8,Modelo confiável e muito popular no Brasil.
Hyundai,HB20,2013,Motor elétrico,Elétrico,Prata,26413,4,CVT,Picape,17.9,54854.76,Ótimo desempenho e conforto para viagens.
Renault,Kwid,2020,1.6 4 cilindros Flex,Híbrido,Branco,0,4,CVT,Hatch,19.3,267486.37,Carro econômico ideal para cidade.
Jeep,Compass,2005,1.6 4 cilindros Flex,Diesel,Azul,377242,4,Manual,Picape,18.2,250215.48,Carro econômico ideal para cidade.
Hyundai,Tucson,2007,Motor elétrico,Elétrico,Cinza,26679,2,Automática,Sedan,16.3,37668.72,Boa relação custo-benefício.
Nissan,Kicks,2007,1.6 4 cilindros Flex,Gasolina,Prata,211251,4,Automática,Hatch,17.1,252675.65,Boa relação custo-benefício.
Fiat,Mobi,2008,2.8 4 cilindros Diesel,Híbrido,Verde,378573,4,Automática,Hatch,15.2,60082.38,Carro econômico ideal para cidade.
Jeep,Renegade,2016,2.8 4 cilindros Diesel,Flex,Verde,459291,2,Manual,SUV,8.1,68174.86,Boa relação custo-benefício.
Jeep,Gladiator,2018,1.6 4 cilindros Flex,Gasolina,Azul,0,2,CVT,SUV,15.0,292612.7,Carro econômico ideal para cidade.
Nissan,Versa,2020,2.0 4 cilindros Gasolina,Diesel,Branco,0,4,Manual,Passeio,19.9,169293.32,Ótimo desempenho e conforto para viagens.
Hyundai,Creta,2006,Motor elétrico,Elétrico,Verde,57267,4,Automática,Passeio,9.1,320959.32,Modelo confiável e muito popular no Brasil.
Volkswagen,Polo,2019,Motor elétrico,Elétrico,Prata,143625,4,Manual,Hatch,11.0,309913.95,Ótimo desempenho e conforto para viagens.
Fiat,Pulse,2016,2.0 4 cilindros Gasolina,Flex,Verde,151908,4,Automática,SUV,8.6,206089.37,Design moderno com boa tecnologia embarcada.
Jeep,Commander,2009,1.3 4 cilindros Flex,Diesel,Azul,336820,2,Automatizada,SUV,15.2,116212.92,Modelo confiável e muito popular no Brasil.
Toyota,Yaris,2017,1.0 3 cilindros Otto,Flex,Prata,391382,4,CVT,Passeio,13.6,296926.29,Boa relação custo-benefício.
Volkswagen,Gol,2018,2.8 4 cilindros Diesel,Híbrido,Azul,0,2,Manual,Sedan,19.0,310149.48,Ótimo desempenho e conforto para viagens.
Fiat,Cronos,2020,2.0 4 cilindros Gasolina,Híbrido,Vermelho,0,4,CVT,SUV,10.4,254654.97,Modelo confiável e muito popular no Brasil.
Fiat,Pulse,2016,1.3 4 cilindros Flex,Híbrido,Branco,487047,4,CVT,Sedan,9.5,335239.43,Carro econômico ideal para cidade.
Fiat,Strada,2013,2.0 4 cilindros Gasolina,Diesel,Cinza,416776,2,CVT,Passeio,12.4,320657.91,Ótimo desempenho e conforto para viagens.
Jeep,Commander,2023,1.6 4 cilindros Flex,Flex,Branco,0,4,Manual,SUV,18.1,48734.22,Espaçoso e confortável para famílias.
Volkswagen,Gol,2014,1.0 3 cilindros Otto,Híbrido,Verde,248626,2,Automática,Passeio,18.1,296903.23,Design moderno com boa tecnologia embarcada.
Renault,Oroch,2012,2.8 4 cilindros Diesel,Diesel,Azul,180546,4,Automatizada,Passeio,20.2,286020.77,Design moderno com boa tecnologia embarcada.
BYD,Song Plus,2020,1.6 4 cilindros Flex,Flex,Vermelho,0,2,Manual,SUV,17.4,204042.55,Boa relação custo-benefício.
Hyundai,Tucson,2017,Motor elétrico,Elétrico,Verde,244923,2,CVT,SUV,13.4,247043.14,Boa relação custo-benefício.
Hyundai,Creta,2022,Motor elétrico,Elétrico,Branco,0,2,Automatizada,Hatch,11.4,69458.15,Boa relação custo-benefício.
Jeep,Renegade,2008,Motor elétrico,Elétrico,Vermelho,46556,4,Automatizada,Passeio,14.2,139281.95,Carro econômico ideal para cidade.
Volkswagen,Amarok,2014,Motor elétrico,Elétrico,Preto,432539,4,Automática,Passeio,18.9,321372.84,Modelo confiável e muito popular no Brasil.
Nissan,Kicks,2024,1.6 4 cilindros Flex,Híbrido,Branco,0,4,Automática,SUV,18.8,120353.77,Modelo confiável e muito popular no Brasil.
Hyundai,Santa Fe,2017,1.6 4 cilindros Flex,Gasolina,Azul,436453,2,Automática,SUV,8.3,289324.1,Espaçoso e confortável para famílias.
BYD,Dolphin,2013,2.8 4 cilindros Diesel,Gasolina,Preto,112947,2,Automatizada,Sedan,13.1,224807.81,Carro econômico ideal para cidade.
Chevrolet,Tracker,2006,1.0 3 cilindros Otto,Flex,Branco,296020,4,Automatizada,Sedan,16.9,219304.6,Boa relação custo-benefício.
Toyota,SW4,2013,2.0 4 cilindros Gasolina,Gasolina,Cinza,351995,4,CVT,Sedan,15.2,259560.88,Modelo confiável e muito popular no Brasil.
Hyundai,Creta,2023,1.6 4 cilindros Flex,Híbrido,Preto,0,4,CVT,Picape,15.9,127473.29,Carro econômico ideal para cidade.
Volkswagen,T-Cross,2008,1.6 4 cilindros Flex,Diesel,Azul,345661,4,Automática,Picape,9.7,93055.66,Boa relação custo-benefício.
Volkswagen,Gol,2008,1.6 4 cilindros Flex,Flex,Cinza,182389,4,CVT,SUV,14.6,30944.64,Ótimo desempenho e conforto para viagens.
Renault,Kwid,2012,1.3 4 cilindros Flex,Híbrido,Cinza,381733,2,Automática,Hatch,16.7,133830.38,Espaçoso e confortável para famílias.
Fiat,Cronos,2021,2.8 4 cilindros Diesel,Híbrido,Vermelho,0,2,Automática,SUV,15.1,189884.76,Design moderno com boa tecnologia embarcada.
Renault,Sandero,2013,2.0 4 cilindros Gasolina,Diesel,Verde,363779,4,Manual,SUV,19.0,219513.03,Ótimo desempenho e conforto para viagens.
Toyota,SW4,2024,1.0 3 cilindros Otto,Híbrido,Prata,281035,4,CVT,Sedan,14.5,76633.32,Boa relação custo-benefício.
BYD,Seal,2012,2.8 4 cilindros Diesel,Gasolina,Cinza,51479,4,CVT,Sedan,21.8,202649.95,Design moderno com boa tecnologia embarcada.
Jeep,Commander,2011,Motor elétrico,Elétrico,Verde,291739,2,Automatizada,Hatch,18.5,238943.93,Ótimo desempenho e conforto para viagens.
Fiat,Pulse,2023,1.6 4 cilindros Flex,Diesel,Prata,239772,2,Automática,SUV,9.0,308594.2,Design moderno com boa tecnologia embarcada.
Fiat,Pulse,2005,Motor elétrico,Elétrico,Vermelho,12226,4,CVT,Picape,17.0,282329.47,Espaçoso e confortável para famílias.
Honda,HR-V,2006,Motor elétrico,Elétrico,Preto,158425,2,Manual,Hatch,16.6,64960.72,Ótimo desempenho e conforto para viagens.
Jeep,Renegade,2009,1.0 3 cilindros Otto,Diesel,Verde,149171,4,CVT,Passeio,18.5,219243.0,Ótimo desempenho e conforto para viagens.
Volkswagen,Polo,2015,Motor elétrico,Elétrico,Vermelho,119136,4,Automatizada,SUV,21.5,254729.0,Carro econômico ideal para cidade.
Chevrolet,S10,2016,2.0 4 cilindros Gasolina,Híbrido,Branco,451864,4,Automática,Picape,13.6,163110.12,Carro econômico ideal para cidade.
Volkswagen,Nivus,2012,2.0 4 cilindros Gasolina,Gasolina,Azul,168603,4,Automática,SUV,11.0,273400.36,Design moderno com boa tecnologia embarcada.
Renault,Duster,2016,1.6 4 cilindros Flex,Flex,Preto,41852,2,Automática,Hatch,10.0,116972.01,Boa relação custo-benefício.
Toyota,Corolla Cross,2017,Motor elétrico,Elétrico,Azul,485104,4,Automatizada,SUV,19.6,322907.75,Ótimo desempenho e conforto para viagens.
Hyundai,HB20,2015,1.0 3 cilindros Otto,Flex,Preto,83232,4,Automatizada,SUV,18.1,192833.13,Boa relação custo-benefício.
Volkswagen,Polo,2023,1.3 4 cilindros Flex,Diesel,Branco,0,2,Automatizada,Picape,16.7,337190.41,Carro econômico ideal para cidade.
Honda,HR-V,2018,2.8 4 cilindros Diesel,Flex,Vermelho,0,2,Automática,Picape,19.8,165600.87,Boa relação custo-benefício.
Jeep,Renegade,2010,Motor elétrico,Elétrico,Vermelho,395348,2,Automatizada,Picape,14.1,247389.63,Ótimo desempenho e conforto para viagens.
Chevrolet,Tracker,2014,2.0 4 cilindros Gasolina,Diesel,Cinza,425247,4,CVT,Sedan,10.9,124745.99,Carro econômico ideal para cidade.
Fiat,Cronos,2011,1.3 4 cilindros Flex,Gasolina,Azul,189177,4,CVT,Hatch,20.3,161805.41,Modelo confiável e muito popular no Brasil.
Hyundai,HB20,2005,1.0 3 cilindros Otto,Gasolina,Verde,378762,2,CVT,Passeio,20.1,227547.34,Carro econômico ideal para cidade.
Volkswagen,Amarok,2025,Motor elétrico,Elétrico,Cinza,96612,4,Automatizada,SUV,13.5,337140.86,Design moderno com boa tecnologia embarcada.
Honda,City,2022,1.6 4 cilindros Flex,Flex,Prata,388018,2,CVT,Sedan,16.6,336199.21,Design moderno com boa tecnologia embarcada.
Toyota,Yaris,2023,2.0 4 cilindros Gasolina,Flex,Preto,0,2,CVT,Sedan,17.7,231325.11,Boa relação custo-benefício.
Honda,City,2005,1.6 4 cilindros Flex,Híbrido,Vermelho,157398,2,Automática,Picape,11.1,138118.03,Ótimo desempenho e conforto para viagens.
Jeep,Compass,2021,1.3 4 cilindros Flex,Diesel,Vermelho,0,2,CVT,Picape,18.6,83075.48,Boa relação custo-benefício.
Toyota,Yaris,2014,Motor elétrico,Elétrico,Branco,120035,4,Manual,SUV,14.1,110432.76,Design moderno com boa tecnologia embarcada.
Chevrolet,Tracker,2009,1.6 4 cilindros Flex,Diesel,Vermelho,424414,2,Manual,Picape,19.8,179440.92,Design moderno com boa tecnologia embarcada.
Hyundai,HB20,2022,1.0 3 cilindros Otto,Híbrido,Azul,0,4,CVT,Picape,18.5,276656.03,Boa relação custo-benefício.
Toyota,Hilux,2014,2.8 4 cilindros Diesel,Gasolina,Branco,66890,4,Automatizada,SUV,19.3,322056.18,Ótimo desempenho e conforto para viagens.
Renault,Duster,2025,1.0 3 cilindros Otto,Gasolina,Azul,0,2,Manual,Sedan,19.6,252777.09,Ótimo desempenho e conforto para viagens.
Renault,Duster,2016,1.6 4 cilindros Flex,Híbrido,Preto,0,4,CVT,Picape,21.1,51930.1,Carro econômico ideal para cidade.
Nissan,Kicks,2016,2.0 4 cilindros Gasolina,Híbrido,Prata,293146,2,Automatizada,Sedan,11.8,98257.84,Ótimo desempenho e conforto para viagens.
Nissan,Versa,2007,1.3 4 cilindros Flex,Híbrido,Verde,431001,4,Automatizada,Picape,10.1,349615.82,Ótimo desempenho e conforto para viagens.
Nissan,Frontier,2014,2.0 4 cilindros Gasolina,Híbrido,Azul,295818,2,CVT,Sedan,13.3,184557.44,Carro econômico ideal para cidade.
Chevrolet,Onix Plus,2015,2.8 4 cilindros Diesel,Flex,Preto,374145,4,Manual,Sedan,16.6,87637.47,Design moderno com boa tecnologia embarcada.
BYD,Seal,2025,Motor elétrico,Elétrico,Verde,0,2,Manual,Hatch,19.2,263001.75,Ótimo desempenho e conforto para viagens.
Hyundai,Santa Fe,2008,2.8 4 cilindros Diesel,Flex,Branco,109744,2,CVT,Picape,20.3,188564.11,Design moderno com boa tecnologia embarcada.
BYD,Yuan Plus,2016,2.8 4 cilindros Diesel,Diesel,Branco,12324,4,CVT,Picape,18.2,42183.23,Ótimo desempenho e conforto para viagens.
Jeep,Gladiator,2013,1.6 4 cilindros Flex,Flex,Cinza,317579,4,CVT,Sedan,19.9,145181.24,Design moderno com boa tecnologia embarcada.
Chevrolet,Spin,2014,Motor elétrico,Elétrico,Cinza,19302,4,Automática,Hatch,19.2,228272.49,Boa relação custo-benefício.
Renault,Sandero,2007,1.3 4 cilindros Flex,Híbrido,Branco,106735,2,Manual,Picape,16.5,275179.8,Carro econômico ideal para cidade.
Renault,Sandero,2014,1.0 3 cilindros Otto,Híbrido,Preto,364635,4,CVT,SUV,8.4,102091.8,Boa relação custo-benefício.
BYD,Dolphin,2005,2.0 4 cilindros Gasolina,Diesel,Prata,254014,2,Automatizada,SUV,21.1,331993.95,Carro econômico ideal para cidade.
Fiat,Toro,2024,1.6 4 cilindros Flex,Híbrido,Cinza,315263,4,Automática,Sedan,12.8,100841.96,Carro econômico ideal para cidade.
Fiat,Pulse,2018,2.0 4 cilindros Gasolina,Gasolina,Prata,150396,2,CVT,SUV,20.1,29292.27,Carro econômico ideal para cidade.
Renault,Sandero,2015,1.6 4 cilindros Flex,Diesel,Vermelho,222248,4,Automatizada,SUV,18.5,190938.78,Carro econômico ideal para cidade.
Chevrolet,Tracker,2025,2.8 4 cilindros Diesel,Flex,Verde,141868,4,CVT,SUV,12.3,265138.39,Ótimo desempenho e conforto para viagens.
Jeep,Commander,2006,1.6 4 cilindros Flex,Gasolina,Azul,310535,4,Manual,Picape,21.1,303297.7,Espaçoso e confortável para famílias.
Nissan,Sentra,2025,2.0 4 cilindros Gasolina,Híbrido,Branco,0,2,Automática,Sedan,20.4,311959.76,Espaçoso e confortável para famílias.
Honda,City,2018,2.0 4 cilindros Gasolina,Gasolina,Azul,0,4,Automática,Passeio,18.6,157575.77,Design moderno com boa tecnologia embarcada.
Renault,Oroch,2007,1.3 4 cilindros Flex,Diesel,Verde,368493,4,Automática,Picape,12.2,38147.77,Modelo confiável e muito popular no Brasil.
Jeep,Gladiator,2025,1.0 3 cilindros Otto,Gasolina,Branco,0,2,Manual,Passeio,15.0,71650.23,Ótimo desempenho e conforto para viagens.
Volkswagen,Virtus,2007,1.6 4 cilindros Flex,Gasolina,Prata,395806,4,CVT,Sedan,13.2,319386.14,Modelo confiável e muito popular no Brasil.
Chevrolet,Cruze,2015,1.3 4 cilindros Flex,Gasolina,Branco,92891,2,Automática,Hatch,20.4,184942.32,Ótimo desempenho e conforto para viagens.
